Title,Time,Giá ,Diện tích ,Địa chỉ tài sản,Mã tin,Loại tin,Loại BDS,Chiều ngang,Chiều dài,Hướng,Đường trước nhà,Pháp lý,Số lầu,Số phòng ngủ
Bán nhà phố Hoàng Văn Thái. Thanh Xuân 51m2 xây 3 tầng. mặt tiền 5m giá 5.3 tỷ, 08/01/2022, 5.3 tỷ , 51 m2, Phố Hoàng Văn Thái. Phường Khương Mai. Quận Thanh Xuân. Hà Nội,9809376,Cần bán,Nhà mặt tiền,5m,10.2m,_,3m,Sổ hồng/ Sổ đỏ,3,3
KHUẤT DUY TIẾN. QUẬN THANH XUÂN. KINH DOANH. VỈ HÈ. 50m. 6Tầng. Chỉ 13.5Tỷ., 08/01/2022, 13.5 tỷ , 50 m2, Đường Khuất Duy Tiến. Phường Thanh Xuân Bắc. Quận Thanh Xuân. Hà Nội,9805768,Cần bán,Nhà mặt tiền,4m,12m,_,40m,Sổ hồng/ Sổ đỏ,6,5
Tôi Chính chủ bán Gấp nhà Lĩnh Nam - Minh Khai. 35m2. 5T. gần ô tô. giá 3.3 tỷ, 08/01/2022, 3.3 tỷ , 35 m2, Ngõ 13 Đường Lĩnh Nam. Phường Lĩnh Nam. Quận Hoàng Mai. Hà Nội,9808492,Cần bán,Nhà trong hẻm,---,---,_,3m,Sổ hồng/ Sổ đỏ,5,3
Siêu Phẩm Phân Lô Phố Trần Quốc Hoàn. Cầu Giấy.  DT 56m2. 5 Tầng. MT 6.5m. Giá 12.3 tỷ., 07/01/2022, 12.3 tỷ , 56 m2, Phố Trần Quốc Hoàn. Phường Dịch Vọng. Quận Cầu Giấy. Hà Nội,9805696,Cần bán,Nhà mặt tiền,6.5m,---,_,6m,Sổ hồng/ Sổ đỏ,5,5
Ngõ 80 Chùa Láng Đống Đa 145m .  8 tầng . mặt tiền 5.8m . giá 55 Tỷ, 07/01/2022, 50 tỷ , 145 m2, Ngõ 80 Chùa Láng Phố Chùa Láng. Phường Láng Thượng. Quận Đống Đa. Hà Nội,9801581,Cần bán,Nhà mặt tiền,5.8m,25m,Tây,8m,Sổ hồng/ Sổ đỏ,8,14
Chính chủ bán nhà Thụy khuê. 45M.5T xây mới. 4.5 tỷ. Ảnh thật. Nhà thật, 05/01/2022, 4.5 tỷ , 45 m2, Đường Thụy Khuê. Phường Bưởi. Quận Tây Hồ. Hà Nội,9789527,Cần bán,Nhà trong hẻm,3.5m,13m,Đông Nam,2m,Sổ hồng/ Sổ đỏ,5,3
Bán nhà phố Vũ Phạm Hàm. Cầu Giấy. 75m2×5 tầng. 16.5 tỷ. Kinh doanh. 3 Ô tô tránh, Hôm nay, 16.5 tỷ , 75 m2, Phố Vũ Phạm Hàm. Phường Trung Hòa. Quận Cầu Giấy. Hà Nội,9813793,Cần bán,Nhà mặt tiền,4.5m,---,_,10m,Sổ hồng/ Sổ đỏ,5,6
NHÀ ĐẸP TẠI Kim Mã 38m2/4T- MT 5.2m- 20m RA PHỐ- NỘI THẤT CAO CẤP- VỀ Ở LUÔN- GIÁ 3.9 tỷ, Hôm nay, 3.9 tỷ , 38 m2, Đường Kim Mã. Phường Kim Mã. Quận Ba Đình. Hà Nội,9815279,Cần bán,Nhà trong hẻm,5.2m,7.3m,_,3m,---,4,3
OTO;TÂN MAI-HOÀNG MAI NHÀ MỚI;CHỈ 5.7 TỶ;50m2;5T;MT4m;THẬT 100%, Hôm nay, 5.7 tỷ , 50 m2, Đường Hoàng Mai. Phường Hoàng Văn Thụ. Quận Hoàng Mai. Hà Nội,9542680,Cần bán,Nhà mặt tiền,4m,13m,_,4m,---,5,5
Nhà Mặt Phố Nguyễn Chánh. Cầu Giấy. 80m2. 8T. MT 5.5m. Doanh Thu 2 Tỷ/Năm.., Hôm nay, 39 tỷ , 80 m2, Đường Nguyễn Chánh. Phường Trung Hòa. Quận Cầu Giấy. Hà Nội,6454960,Cần bán,Nhà mặt tiền,5.5m,---,_,20m,Sổ hồng/ Sổ đỏ,8,8
Bán Nhà 7 Tầng LÔ GÓC M.phố LÝ THƯỜNG KIỆT - Hoàn Kiếm. 65m2/Sàn MT 6m Vỉa Hè 8m Chỉ 36Tỷ, Hôm nay, 39 tỷ , 65 m2, Phố Lý Thường Kiệt. Phường Cửa Nam. Quận Hoàn Kiếm. Hà Nội,9816845,Cần bán,Nhà mặt tiền,6m,---,_,32m,Sổ hồng/ Sổ đỏ,7,6
do ap lực TC chủ nhà thiện chí nhượng lại căn S47m2. 5T chỉ 4.35ty Xuân La - Tây Hồ, Hôm nay, 4.35 tỷ / m2  , 47 m2, Đường Xuân La. Phường Xuân La. Quận Tây Hồ. Hà Nội,9816820,Cần bán,Nhà mặt tiền,6.70m,4.70m,_,3m,Sổ hồng/ Sổ đỏ,5,3
Bán nhà cực hiếm Thái Hà. 110m2X6T thang máy. MT 5.5m. mặt ngõ kdoanh. 22 tỷ., Hôm qua, 22 tỷ , 110 m2, Phố Thái Hà. Phường Trung Liệt. Quận Đống Đa. Hà Nội,9342332,Cần bán,Nhà trong hẻm,---,---,_,6m,---,6,5
Bán Nhà Mặt Phố Đống Đa - 6T Thang Máy - DT40m4 - Kinh Doanh., Hôm qua, 8.5 tỷ , 40 m2, Phố Kim Hoa. Phường Phương Liên. Quận Đống Đa. Hà Nội,9802940,Cần bán,Nhà mặt tiền,5m,---,_,6m,Sổ hồng/ Sổ đỏ,6,4
Nhà phân lô VIP Ba Đình. Kinh doanh văn phòng 67/70m x 4 tầng - 9.7 tỷ, Hôm qua, 9.7 tỷ , 70 m2, Phố Văn Cao. Phường Liễu Giai. Quận Ba Đình. Hà Nội,9813547,Cần bán,Nhà trong hẻm,---,---,_,4m,---,4,4
1.98 tỷ có nhà quận Hai Bà Trưng. 24m. ngõ nông. thoáng . gần phố. vị trí đẹp, Hôm qua, 1.98 tỷ , 24 m2, Đường Lãng Yên. Phường Bạch Đằng. Quận Hai Bà Trưng. Hà Nội,9810488,Cần bán,Nhà trong hẻm,3m,---,_,3m,Sổ hồng/ Sổ đỏ,3,2
MẶT TIỀN KHỦNG 8M XÃ ĐÀN ĐỐNG ĐA. ĐANG CHO THUÊ KINH DOANH 6000$, Hôm qua, 29 tỷ , 60 m2, Phố Xã Đàn. Phường Trung Phụng. Quận Đống Đa. Hà Nội,6579173,Cần bán,Nhà mặt tiền,8m,8m,_,8m,Sổ hồng/ Sổ đỏ,6,5
97m2 nhỉnh 10 tỷ - 8 TẦNG THANG MÁY - GARA OTO - 4 MẶT THOÁNG - GẦN HỒ. CÔNG VIÊN. TRƯỜNG., Hôm qua, 18.5 tỷ , 97 m2, Phố Hoa Bằng. Phường Yên Hòa. Quận Cầu Giấy. Hà Nội,9814787,Cần bán,Nhà mặt tiền,5m,---,_,10m,Sổ hồng/ Sổ đỏ,8,8
58m2 nhỉnh 6 tỷ - PHÂN LÔ 2 OTO TRÁNH - NGÕ THÔNG - KINH DOANH TUYỆT VỜI MỌI LOẠI HÌNH, Hôm qua, 6.75 tỷ , 58 m2, Đường Đồng Bát. Phường Mỹ Đình 2. Quận Nam Từ Liêm. Hà Nội,9814634,Cần bán,Nhà trong hẻm,3m,---,_,6m,Sổ hồng/ Sổ đỏ,4,4
Bán Tòa nhà Văn Phòng 7 Tầng TRẦN QUANG DIỆU 55m2. Mt 5.5m. Giá 14.7 Tỷ., Hôm qua, 15.7 tỷ , 55 m2, Phố Trần Quang Diệu. Phường Ô Chợ Dừa. Quận Đống Đa. Hà Nội,9810930,Cần bán,Nhà mặt tiền,---,---,_,8m,---,7,8
Bán Biệt Thự liền kề VŨ NGỌC PHAN ĐỐNG ĐA 86m2. 5 Tầng hiện đại. Giá 15.1 Tỷ., Hôm qua, 15.1 tỷ , 86 m2, Phố Vũ Ngọc Phan. Phường Láng Hạ. Quận Đống Đa. Hà Nội,9810732,Cần bán,Nhà mặt tiền,5m,15m,_,8m,---,5,6
Bán nhà PHẠM NGỌC THẠCH ĐỐNG ĐA Ô tô tránh . 99m2. MT 7M. Giá 16 Tỷ., Hôm qua, 16 tỷ , 99 m2, Phố Phạm Ngọc Thạch. Phường Kim Liên. Quận Đống Đa. Hà Nội,9672713,Cần bán,Nhà mặt tiền,---,---,_,8m,---,5,6
Bán nhà Phố Khương Hạ Thanh Xuân 43m x 6 tầng. mặt tiền 5.31m. giá 4.85 tỷ, Hôm qua, 4.85 tỷ , 43 m2, Phố Khương Hạ. Phường Khương Hạ. Quận Thanh Xuân. Hà Nội,9816337,Cần bán,Nhà trong hẻm,5.31m,---,_,5m,---,6,5
BÁN NHÀ PHÂN LÔ-VỈA HÈ - 2 ÔTÔ TẢI TRÁNH-kINH DOANG - PHỐ ĐẶNG VŨ HỶ - DT55M2 - GIÁ 6.6TỶ, Hôm qua, 6.6 tỷ , 55 m2, Đường Đặng Vũ Hỷ. Phường Thượng Thanh. Quận Long Biên. Hà Nội,9812212,Cần bán,Nhà mặt tiền,---,---,_,6m,Sổ hồng/ Sổ đỏ,4,4
SIÊU PHẨM LACASTA!! KINH DOANH MẶT PHỐ CẠNH THÁP ĐỒNG HỒ NGÃ TƯ VĂN PHÚ 75M2 5T 18.5 TỶ, Hôm qua, 18.5 tỷ , 75 m2, Đường Văn Phú. Phường Phú La. Quận Hà Đông. Hà Nội,9803305,Cần bán,Nhà mặt tiền,5m,15m,Khu biệt thự La Casta HiBrand, (xem chi tiết dự án),_,10m,Sổ hồng/ Sổ đỏ,5,4
SIÊU PHẨM NHÀ ĐẸP LONG LANH MÓI KÍNH KONG .175/467 LĨNH NAM. 4 TẦNG .4 NGỦ., Hôm qua, 2.95 tỷ , 37 m2, 7k/175/467 Lĩnh nam Đường Lĩnh Nam. Phường Lĩnh Nam. Quận Hoàng Mai. Hà Nội,9725219,Cần bán,Nhà trong hẻm,3.95m,9.5m,_,2.5m,Sổ hồng/ Sổ đỏ,4,4
Bán Nhà Giáp Bát - Hoàng Mai - Ô Tô Tránh - KD - 43m2 - 3T - Giá 5.98 Tỷ.   NGÕ THÔNG Ô TÔ, Hôm qua, 5.98 tỷ , 43 m2, Đường Giáp Bát. Phường Giáp Bát. Quận Hoàng Mai. Hà Nội,9812394,Cần bán,Nhà mặt tiền,3.8m,11m,_,10m,Sổ hồng/ Sổ đỏ,3,3
BÁN NHÀ 5 TẦNG PHÂN LÔ QUÂN ĐỘI - Ô TÔ ĐỖ CỬA - 2 MẶT THOÁNG -  DIỆN TÍCH 45M2 GIÁ 7.2 TỶ, Hôm qua, 7.2 tỷ , 45 m2, Đường Nguyễn Lân. Phường Phương Liệt. Quận Thanh Xuân. Hà Nội,9805609,Cần bán,Nhà mặt tiền,4m,---,_,6m,Sổ hồng/ Sổ đỏ,5,4
Phố Nguyễn Văn Huyên_ Cầu Giấy O tô Đỗ Cửa Thang máy_40m2x6T _ Ngõ thông Kinh doanh -, Hôm qua, 6.4 tỷ , 41 m2, Đường Nguyễn Văn Huyên. Phường Quan Hoa. Quận Cầu Giấy. Hà Nội,9607755,Cần bán,Nhà trong hẻm,4m,10m,_,3m,Sổ hồng/ Sổ đỏ,6,4
Bán nhà Mới Phố Cầu Giấy_45m2x5T ô tô đõ cách nhà 10m Giá chỉ nhỉnh 5 Tỷ Full Nội Thất, Hôm qua, 5.2 tỷ , 45 m2, Đường Cầu Giấy. Phường Quan Hoa. Quận Cầu Giấy. Hà Nội,9804213,Cần bán,Nhà trong hẻm,4m,11m,_,3m,Sổ hồng/ Sổ đỏ,5,6
🌺 Bán Nhà Đào Tấn Ba Đình 40 m 5 tầng 4 m mặt tiền 4.6 Tỷ., Hôm qua, 4.6 tỷ , 40 m2, Đường Đào Tấn. Phường Cống Vị. Quận Ba Đình. Hà Nội,6957196,Cần bán,Nhà trong hẻm,---,---,_,3m,Sổ hồng/ Sổ đỏ,5,3
BÁN NHÀ. ĐỊNH CÔNG THƯỢNG. HOÀNG MAI. NHÀ ĐẸP. VỊ TRÍ ĐẸP. Ô TÔ VÀO NHÀ. 33m2 - 5 TẦNG, Hôm qua, 3.85 tỷ , 33 m2, Đường Định Công Thượng. Phường Định Công. Quận Hoàng Mai. Hà Nội,9815603,Cần bán,Nhà mặt tiền,4m,---,_,5m,---,4,4
NHÀ ĐẸP ĐÓN XUÂN. SIÊU PHẨM KHƯƠNG ĐÌNH THANH XUÂN.5 TẦNG THIẾT KẾ HIỆN ĐẠI. 42M2., Hôm qua, 4.55 tỷ , 45 m2, Đường Khương Đình. Phường Khương Đình. Quận Thanh Xuân. Hà Nội,9815500,Cần bán,Nhà mặt tiền,4m,---,_,5m,---,5,5
CỰC VIP. OTO. KD. VH.70M2. 4T. NGUYỄN CHÁNH. CẦU GIẤY. CÓ 13.5 TỶ, Hôm qua, 13.5 tỷ , 70 m2, Đường Nguyễn Chánh. Phường Trung Hòa. Quận Cầu Giấy. Hà Nội,9814004,Cần bán,Nhà mặt tiền,6m,12m,_,5m,Sổ hồng/ Sổ đỏ,3,4
BÁN GẤP. OTO. KD. 82M2. 7T. MT6M. VŨ PHẠM HÀM. CẦU GIẤY. CÓ 12.8 TỶ., Hôm qua, 12.8 tỷ , 82 m2, Đường Vũ Phạm Hàm. Phường Trung Hòa. Quận Cầu Giấy. Hà Nội,9814275,Cần bán,Nhà trong hẻm,6m,14m,_,4m,Sổ hồng/ Sổ đỏ,7,16
Mặt phố. Hoàng Quốc Việt. vỉa hè. ô tô. kinh doanh VIP. 8 tầng. 100m2. nhỉnh 40 tỷ., Hôm qua, 40 tỷ , 100 m2, Đường Hoàng Quốc Việt. Phường Nghĩa Tân. Quận Cầu Giấy. Hà Nội,9815578,Cần bán,Nhà mặt tiền,---,---,_,40m,Sổ hồng/ Sổ đỏ,8,10
Bán nhà mặt phố Nguyễn Khang. 121m. mặt tiền 6m. Giá: 220tr/m, Hôm qua, 26.4 tỷ , 121 m2, Đường Nguyễn Khang. Phường Yên Hòa. Quận Cầu Giấy. Hà Nội,9815576,Cần bán,Nhà mặt tiền,6m,21m,_,20m,Sổ hồng/ Sổ đỏ,2,3
BÁN NHÀ YÊN HÒA 30M. 5 TẦNG. GIÁ: 3.5 TỶ, Hôm qua, 3.5 tỷ , 30 m2, Đường Cầu Giấy. Phường Yên Hòa. Quận Cầu Giấy. Hà Nội,9815531,Cần bán,Nhà trong hẻm,6.5m,4.61m,_,2.5m,---,5,3
Mặt Phố Bùi Xương Trạch  - DT 84m2 . MT hơn 4m - Đường Ôtô Tránh - Kinh Doanh Sầm Uất, Hôm qua, 12.5 tỷ , 84 m2, Đường Bùi Xương Trạch. Phường Khương Đình. Quận Thanh Xuân. Hà Nội,9709221,Cần bán,Nhà mặt tiền,4m,---,Đông,6m,Sổ hồng/ Sổ đỏ,1,1
KIM MÃ – BA ĐÌNH – NHÀ MỚI 5 TẦNG 3 NGỦ - LÔ GÓC MẶT TIỀN RỘNG – GIÁ 3.9 TỶ., Hôm qua, 390 ngàn , 40 m2, Đường Kim Mã. Phường Kim Mã. Quận Ba Đình. Hà Nội,9815384,Cần bán,Nhà trong hẻm,5m,8m,_,2m,Sổ hồng/ Sổ đỏ,5,3
Bán Nhà Ái Mộ. Hiếm có ÔTÔ VÀO NHÀ. 129m . 9.8 tỷ., Hôm qua, 9.8 tỷ , 129 m2, Phố Ái Mộ. Phường Bồ Đề. Quận Long Biên. Hà Nội,9523828,Cần bán,Nhà mặt tiền,8m,16m,_,5m,---,3,3
Tòa nhà phố Xuân La. Lô góc 3 mặt phố. vỉa hè. 4 làn ô tô tránh. thang máy. KD. 110m2 MT9m, Hôm qua, 30 tỷ , 110 m2, Đường Xuân La. Phường Xuân La. Quận Tây Hồ. Hà Nội,9815122,Cần bán,Nhà mặt tiền,---,---,_,12m,Sổ hồng/ Sổ đỏ,8,8
Siêu Hiếm - Bán Nhà Kim Mã - 38m2 x4T 3PN. 30M Ra Phố. Nhỉnh 100TR M. MT Rộng. Thoáng Sáng, Hôm qua, 3.9 tỷ , 38 m2, Đường Kim Mã. Phường Kim Mã. Quận Ba Đình. Hà Nội,9814804,Cần bán,Nhà trong hẻm,5.2m,7.3m,Bắc,2.5m,Sổ hồng/ Sổ đỏ,4,3
Nhà Mỹ Đình. ô tô . hai mặt thoáng KD. dt 72m. 5 tầng. mt 4.5 m. giá 7.2 tỷ, Hôm qua, 7.2 tỷ , 72 m2, 1 Đường Mỹ Đình. Phường Mỹ Đình 1. Quận Nam Từ Liêm. Hà Nội,9809857,Cần bán,Nhà mặt tiền,5m,---,_,4m,Sổ hồng/ Sổ đỏ,5,4
Bán nhà mặt phố Nguyễn Chánh. Cầu Giấy. Lô góc. vỉa hè. ô tô. KD. thang máy. 85m2 9T 30tỷ, Hôm qua, 30 tỷ , 85 m2, Đường Nguyễn Chánh. Phường Trung Hòa. Quận Cầu Giấy. Hà Nội,9814516,Cần bán,Nhà mặt tiền,---,---,_,20m,---,9,9
BÁN NHÀ NGÕ 12 ĐÀO TẤN. BA ĐÌNH. 50M. 5 TẦNG. 5M MẶT TIỀN. 15.8TỶ., Hôm qua, 15.8 tỷ , 50 m2, Đường Đào Tấn. Phường Cống Vị. Quận Ba Đình. Hà Nội,9814499,Cần bán,Nhà trong hẻm,5m,---,_,6m,---,5,3
BÁN NHÀ ĐỊNH CÔNG HẠ - Ô TÔ KINH DOANH 45M2 4T. MT 4M, Hôm qua, 4.4 tỷ , 45 m2, Phố Định Công Hạ. Phường Định Công. Quận Hoàng Mai. Hà Nội,9814458,Cần bán,Nhà trong hẻm,4m,---,_,5m,Sổ hồng/ Sổ đỏ,4,4
Bán nhà mặt phố Nguyễn Khánh Toàn:Kinh doanh sầm uất.mặt tiền 10m.vỉa hè đá bóng!!!, Hôm qua, 65 tỷ , 110 m2, Đường Nguyễn Khánh Toàn. Phường Quan Hoa. Quận Cầu Giấy. Hà Nội,9814451,Cần bán,Nhà mặt tiền,10m,11m,_,30m,Sổ hồng/ Sổ đỏ,3,4
Bán nhà mặt phố Nguyễn Khuyến-Hà Đông:Kinh doanh sầm uất.vỉa hè.mặt tiền đẹp.vị trí đỉnh!, Hôm qua, 25 tỷ , 112 m2, Đường Nguyễn Khuyến. Phường Văn Quán. Quận Hà Đông. Hà Nội,9814171,Cần bán,Nhà mặt tiền,5m,23m,_,20m,Sổ hồng/ Sổ đỏ,6,7
Cực hiếm Trường Chinh. Lê Trọng Tấn 138m². mặt tiền 7m giá 21.8 tỷ, Hôm qua, 21.8 tỷ , 138 m2, Đường Trường Chinh. Phường Khương Mai. Quận Thanh Xuân. Hà Nội,9812132,Cần bán,Nhà mặt tiền,7m,30m,_,6m,---,3,3
Siêu Phẩm Nhà Mặt Phố Đại An – Ô Tô Tránh- 2 Thoáng – HomeStay 54m2 5T 3.8MT Giá 7.5 Tỷ, Hôm qua, 7.5 tỷ , 54 m2, Đường Đại An. Phường Văn Quán. Quận Hà Đông. Hà Nội,9813705,Cần bán,Nhà mặt tiền,3.8m,14m,_,8m,Sổ hồng/ Sổ đỏ,5,4
BÁN NHÀ NGÕ 663 TRƯƠNG ĐỊNH 65M2 X3 TẦNG .NHỈNH 4  TỶ, Hôm qua, 4.2 tỷ , 65 m2, Đường Trương Định. Phường Thịnh Liệt. Quận Hoàng Mai. Hà Nội,9695715,Cần bán,Nhà trong hẻm,---,---,_,3m,---,3,3
Trung tâm Cầu Giấy. thang máy. 7 tầng. ô tô. chỉ 10.9 tỷ., Hôm qua, 1.09 tỷ , 52 m2, Đường Cầu Giấy. Phường Quan Hoa. Quận Cầu Giấy. Hà Nội,9813570,Cần bán,Nhà mặt tiền,4m,12m,_,4m,Sổ hồng/ Sổ đỏ,7,8
Bán nhà quận Hai Bà Trưng.gần phố. ngõ rộng. 24m. 3 tầng . đủ công năng giá 1.98 tỷ, 08/01/2022, 1.98 tỷ , 24 m2, Đường Lãng Yên. Phường Bạch Đằng. Quận Hai Bà Trưng. Hà Nội,9810459,Cần bán,Nhà trong hẻm,3m,---,_,3m,Sổ hồng/ Sổ đỏ,3,2
GIẢM 500 BÁN BẤT CHẤP TRƯỚC TẾT TRẦN DUY HƯNG - 80M2 7T 16PN 13.3 TỶ OTO QUA NHÀ, 08/01/2022, 13.3 tỷ , 80 m2, Đường Trần Duy Hưng. Phường Trung Hòa. Quận Cầu Giấy. Hà Nội,9798753,Cần bán,Nhà trong hẻm,5m,---,_,3m,Sổ hồng/ Sổ đỏ,7,16
Bán nhà mặt phố Hào Nam. Đống Đa 5t 70m2 shop k/d nhạc cụ. giá 22 tỷ, 08/01/2022, 22 tỷ , 70 m2, Phố Hào Nam. Phường Ô Chợ Dừa. Quận Đống Đa. Hà Nội,8624607,Cần bán,Nhà mặt tiền,---,---,_,10m,Sổ hồng/ Sổ đỏ,5,6
